"",NSC,CONCUNIT,LCONC,PANEL,CELL,NLOGGI50
"5466",662424,M,-4,Melanoma,SKMEL5,5.769
"5467",662424,M,-4,Ovarian,SKOV3,5.341
"5468",662424,M,-4,Renal,SN12C,5.768
"5469",662424,M,-4,Central Nervous System,SNB19,5.679
"5470",662424,M,-4,Central Nervous System,SNB75,6.456
"5471",662424,M,-4,Leukemia,SR,5.684
"5472",662424,M,-4,Colon,SW620,6.364
"5473",662424,M,-4,Breast,T47D,5.607
"5474",662424,M,-4,Renal,TK10,5.473
"5475",662424,M,-4,Central Nervous System,U251,6.319
"5476",662424,M,-4,Melanoma,UACC257,5.741
"5477",662424,M,-4,Melanoma,UACC62,5.412
"5478",662425,M,-5,Renal,7860,5.735
"5479",662425,M,-5,Renal,A498,5.678
"5480",662425,,,,A549,
"5481",662425,M,-5,Renal,ACHN,5.809
"5482",662425,M,-5,Breast,BT549,5.734
"5483",662425,M,-5,Renal,CAKI1,5.651
"5484",662425,M,-5,Leukemia,CCRFCEM,5.626
"5485",662425,M,-5,Colon,COLO205,5.658
"5486",662425,M,-5,Prostate,DU145,5.784
"5487",662425,M,-5,Non-Small Cell Lung,EKVX,5.721
"5488",662425,M,-5,Colon,HCC2998,5.769
"5489",662425,M,-5,Colon,HCT116,6.348
"5490",662425,M,-5,Colon,HCT15,6.154
"5491",662425,,,,HL60,
"5492",662425,M,-5,Non-Small Cell Lung,HOP62,5.702
"5493",662425,M,-5,Non-Small Cell Lung,HOP92,5.638
"5494",662425,M,-5,Breast,HS578T,5.54
"5495",662425,M,-5,Colon,HT29,5.597
"5496",662425,M,-5,Ovarian,IGROV1,5.783
"5497",662425,M,-5,Leukemia,K562,6.993
"5498",662425,M,-5,Colon,KM12,5.754
"5499",662425,M,-5,Melanoma,LOXIMVI,5.725
"5500",662425,M,-5,Melanoma,M14,5.794
"5501",662425,M,-5,Melanoma,MALME3M,5.727
"5502",662425,M,-5,Breast,MCF7,5.918
"5503",662425,,,,MDAMB231,
"5504",662425,M,-5,Melanoma,MDAMB435,6.711
"5505",662425,,,,MDAMB468,
